Colonne,Description,Unité
Profile,Numéro de profil,—
Rawfilename,Nom du fichier brut,—
Date_Time,Date et heure de l'acquisition,YYYY-MM-DD HH:MM:SS
Project,Nom du projet ou de la campagne,—
Pressure [dbar],Pression,decibar
Vol [L] (sampled for this depth bin),Volume d'eau capturé par l'UVP à cette profondeur,L
Part conc frac [#/l] (ESD: 0.001-0.00126 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.00126-0.00159 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.00159-0.002 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.002-0.00252 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.00252-0.00317 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.00317-0.004 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.004-0.00504 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.00504-0.00635 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.00635-0.008 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.008-0.0101 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.0101-0.0127 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.0127-0.016 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.016-0.0202 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.0202-0.0254 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.0254-0.032 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.032-0.040296 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Part conc frac [#/l] (ESD: 0.040296-0.0508 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
